outcome,description
Sınıf içi tanışma etkinliğine katılır.,Kendini tanıtarak öğretmeniyle ve arkadaşlarıyla tanışır.
Kendisiyle akranları arasındaki benzer ve farklı yönleri ayırt eder,"Öğrencilerin fiziksel özellikleri üzerinde durularak özel gereksinimli bireylerin farkına varma, onların kullandığı cihaz ve protezlere dikkat etme gibi unsurlar da vurgulanır."
Okula geliş ve okuldan gidişlerde güvenlik kurallarına uyar.,"Servis araçlarında uyulması gereken temel kurallar, yaya geçidi, kaldırım ve yolların kullanımı ile tanıdığı ve tanımadığı kimselerle iletişimde nelere dikkat etmesi gerektiği konuları üzerinde durulur."
Sınıfının okul içindeki yerini bulur,"Yönle ilgili; sağında, solunda, önünde, arkasında, altında, üstünde, yanında, karşısında gibi temel kavramlar üzerinde durulur"
Sınıf içerisinde bulunan ders araç ve gereçleri ile şeref köşesini tanır.,
Bayrak töreninde nasıl davranması gerektiğini kavrar,Türk bayrağına ve İstiklâl Marşı’na saygı gösterilmesi gerektiği üzerinde durulur.
Okulunun bölümlerini tanır.,"Öğrencilere sınıfın okul içindeki yeri gösterilir. Ayrıca diğer bölümler gezdirilerek idari kısım, öğretmenler odası, rehberlik servisi, kantin, kütüphane, spor salonu, lavabo ve okulda bulunan birimler tanıtılır."
Tuvalet kullanma ve temizlik alışkanlığı geliştirir.,"Okul tuvaletlerini nasıl kullanması gerektiği (tuvalete gidiş geliş, izin isteme, tuvaleti kullanırken kendisinin ve tuvaleti kullanan arkadaşlarının mahremiyetine duyarlı olma) üzerinde durulur."
Okul çalışanlarını tanır.,"Okul müdürü, müdür yardımcıları, öğretmenler ve diğer hizmetlerde çalışan kişiler tanıtılır."
İhtiyaç duyduğu durumlarda okul çalışanlarından yardım alır.,"Öğretmen, nöbetçi öğretmen, hizmetli ve idari personelden hangi durumlarda izin ve yardım isteyeceği üzerinde durulur."
Sınıf içi kuralları belirleme sürecine katılır,"Sınıf eşyalarını özenli kullanma, sınıfını temiz tutma, iletişimde zamanlamaya dikkat etme ile (dinleme, söz alarak konuşma, yerinde konuşma vb.) arkadaşlarına ve arkadaşlarının eşyalarına zarar vermeme, kendisini ve çevresini temiz tutma gibi kuralların gerekliliğinden hareketle konu açıklanır. Sınıf içi kuralların öğrencilerin de katılımıyla belirlenmesine özen gösterilir."
Okul kurallarına uyar.,"Merdiven iniş çıkış kurallarına uyma, pencereden aşağıya sarkmama, kablo ve prizlere dokunmama, okul eşyalarını özenli kullanma, sınıf, koridor, okul bahçesi, yemek yenilen ortam, okula geliş ve derse giriş saatleri, çöp kovasını kullanma, kantinde sıraya girme gibi konuların üzerinde durulur."
Okulda iletişim kurarken nezaket kurallarına uyar.,"Öğretmeni, arkadaşları ve okul çalışanları ile ilişkilerinde “teşekkür ederim, merhaba, günaydın, iyi günler, hoşça kal, lütfen, özür dilerim, rica ederim” gibi nezaket ifadelerinin kullanılmasının gerekliliği üzerinde durulur. Başkalarının odasına girerken (öğretmenler odası, müdür odası, hizmetli odası, sınıfı vb.) izin istemesi gerektiği vurgulanır."
Okul içi etkinliklerde görev almaya istekli olur.,"Belirli gün ve haftalara katılma, kulüp faaliyetlerinde bulunma, okul meclisi çalışmalarına katılma vb. konular üzerinde durulur."
Oyunlara katılmaya ve oyun oynamaya istekli olur,"Oyun aracılığıyla eğlenmesine, oyunun kurallarına uyum sağlamasına, oyunda uygun davranışlar sergilemesine, arkadaşlık kurmasına, kendini ve başkalarını tanımasına vb. rehberlik edilir"
Okulla ilgili olumlu duygu ve düşünceler geliştirir.,"Okulun bireysel yaşamına sağlayacağı katkılar (yeni arkadaşlar edinme, oyun oynama, eğlenme, bilgi edinme vb.) üzerinde durulur. Okul korkusu olabilecek öğrencilere karşı duyarlı olunur"
Kullanacağı ders araç ve gereçlerini seçer.,"Kullanacağı ders araç gereçleri tanıtılır, bunların doğru ve güvenli kullanılması ve taşınması üzerinde durulur. Kalem, defter ve çanta kullanımı özellikle vurgulanır."
